Count,Hole Size,Plated,Hole Shape,Drill Layer Pair,Hole Type
4,2.10mm (82.68mils),NPTH,Round,"L1 (Sig, PWR) - L2 (Sig, PWR)",Mechanical
Total 4,,,,,
